rank,movie,release_date,distributor,genre,gross,tickets_sold
376,Harry Potter and the Goblet…,11/18/2005,Warner Bros.,Adventure,188716,20715
377,The Monkey King 3: Kingdom …,2/16/2018,Well Go USA,Action,187074,20535
378,Never-Ending Man: Hayao Miy…,12/13/2018,GKIDS,Documentary,186944,20520
379,Goldbuster,1/5/2018,Well Go USA,Comedy,186135,20431
380,Summer 1993,5/25/2018,Oscilloscope Pict…,Drama,185903,20406
381,Madeline’s Madeline,8/10/2018,Oscilloscope Pict…,Drama,185576,20370
382,Born to be Wild 3D,4/8/2011,Warner Bros.,Documentary,184248,20224
383,Karwaan,8/3/2018,Self Distributed,Comedy,182009,19979
384,Harry Potter and the Deathl…,7/15/2011,Warner Bros.,Adventure,181938,19971
385,Last Letter,11/9/2018,China Lion Film D…,,179721,19727
386,BuyBust,8/10/2018,Well Go USA,Action,178471,19590
387,The Guardians,5/4/2018,Music Box Films,Drama,177331,19465
388,Always at the Carlyle,5/11/2018,Good Deed Enterta…,Documentary,174251,19127
389,Capernaum,12/14/2018,Sony Pictures Cla…,Drama,172390,18923
390,Rampant,10/26/2018,Well Go USA,Horror,167937,18434
391,Double Lover,2/14/2018,Cohen Media Group,Drama,167093,18341
392,Boom for Real: The Late Tee…,5/11/2018,Magnolia Pictures,Documentary,166616,18289
393,Far From the Tree,7/20/2018,Sundance Selects,Documentary,165756,18195
394,Only the Brave,10/20/2017,Sony Pictures,Drama,158763,17427
395,Batti Gul Meter Chalu,9/21/2018,Eros Entertainment,Drama,153847,16887
396,Eating Animals,6/15/2018,Sundance Selects,Documentary,149384,16398
397,Ghost Stories,4/20/2018,IFC Midnight,Horror,148747,16328
398,Bad Reputation,9/28/2018,Magnolia Pictures,Documentary,148568,16308
399,Museum,9/14/2018,YouTube,Drama,148505,16301
400,Journey’s End,3/16/2018,Good Deed Enterta…,Drama,148275,16276
401,Harry Potter and the Deathl…,11/19/2010,Warner Bros.,Adventure,148263,16275
402,The Great Buster,10/5/2018,Cohen Media Group,Documentary,144199,15828
403,The World Before Your Feet,11/21/2018,Greenwich,Documentary,142789,15673
404,Harry Potter and the Order …,7/11/2007,Warner Bros.,Adventure,132522,14547
405,Harry Potter and the Half-B…,7/15/2009,Warner Bros.,Adventure,130081,14279
406,Support The Girls,8/24/2018,Magnolia Pictures,Comedy,129124,14173
407,The Young Karl Marx,2/23/2018,The Orchard,Drama,125659,13793
408,Geostorm,10/20/2017,Warner Bros.,Action,121378,13324
409,Love After Love,3/30/2018,IFC Films,Drama,121098,13293
410,Wings of Desire (1987) (Re-…,10/19/2018,Janus Films,Drama,120816,13261
411,Till the End of the World,2/2/2018,China Lion Film D…,Adventure,118352,12991
412,Bisbee ‘17,9/5/2018,4th Row Films,Documentary,117470,12894
413,Ryuichi Sakamoto: Coda,7/6/2018,MUBI,Documentary,117460,12893
414,‘85 The Greatest Team in Fo…,1/29/2018,Fathom Events,Documentary,115463,12674
415,Gonjiam: Haunted Asylum,4/13/2018,Well Go USA,Horror,115252,12651
416,Bodied,11/2/2018,Independent Artists,Comedy,113956,12508
417,"Roman J. Israel, Esq.",11/17/2017,Sony Pictures,Drama,111438,12232
418,Lu Over The Wall,5/11/2018,GKIDS,Adventure,110168,12093
419,The Negotiation,9/19/2018,CJ Entertainment,Drama,109856,12058
420,El Angel,11/9/2018,The Orchard,Drama,109608,12032
421,The Captain,7/27/2018,Music Box Films,Drama,109226,11989
422,Mary Shelley,5/25/2018,IFC Films,Drama,108900,11954
423,Deep Sea 3-D,3/3/2006,Warner Bros.,Documentary,108865,11950
424,In Between,1/5/2018,Film Movement,Drama,107977,11852
425,"Love, Cecil",6/29/2018,Zeitgeist,Documentary,106057,11641
426,Namaste England,10/19/2018,Eros Entertainment,Romantic Comedy,104079,11424
427,Detective K: Secret of the …,2/16/2018,Well Go USA,Comedy,104012,11417
428,Memoir of War,8/17/2018,Music Box Films,Drama,103770,11390
429,Airpocalypse,12/21/2018,China Lion Film D…,Adventure,103053,11312
430,Ismael’s Ghost,3/23/2018,Magnolia Pictures,Thriller/Suspense,102510,11252
431,Andrei Rublev,10/31/1973,Columbia,Drama,102023,11199
432,Unstoppable,11/30/2018,Well Go USA,Action,101417,11132
433,The Man Who Invented Christmas,11/22/2017,Bleecker Street,Adventure,100351,11015
434,All About Nina,9/28/2018,The Orchard,Drama,100335,11013
435,Filmworker,5/11/2018,Kino Lorber,Documentary,99593,10932
436,Revenge,5/11/2018,Neon,Action,99197,10888
437,Champion,5/11/2018,Well Go USA,Drama,97470,10699
438,Wonder Wheel,12/1/2017,Amazon Studios,Drama,96631,10607
439,Let the Corpses Tan,8/31/2018,Kino Lorber,Thriller/Suspense,93409,10253
440,Reign of Judges: Title of L…,3/15/2018,Darin Southam End…,Action,93224,10233
441,The Breadwinner,11/17/2017,GKIDS,Drama,92074,10106
442,John McEnroe: In the Realm …,8/22/2018,Oscilloscope Pict…,Documentary,90964,9985
443,Running for Grace,7/19/2018,Blue Fox Entertai…,Drama,90782,9965
444,The Third Murder,7/20/2018,Film Movement,Thriller/Suspense,89315,9804
445,The Price of Everything,10/19/2018,HBO Documentary F…,Documentary,87400,9593
446,Nostalgia,2/16/2018,Bleecker Street,Drama,86301,9473
447,Big Brother,8/31/2018,Well Go USA,Multiple Genres,85624,9398
448,Sweet Country,4/6/2018,Samuel Goldwyn Films,Western,85556,9391
449,Lobster Cop,6/22/2018,China Lion Film D…,Action,85172,9349
450,How to Talk to Girls at Par…,5/25/2018,A24,Comedy,84809,9309
451,Custody,6/29/2018,Kino Lorber,Drama,83882,9207
452,Claire’s Camera,3/9/2018,Cinema Guild,Drama,83418,9156
453,Godard Mon Amour,4/20/2018,Cohen Media Group,Drama,82264,9030
454,Bel Canto,9/14/2018,Screen Media Films,Drama,80134,8796
455,Have a Nice Day,1/26/2018,Strand,Comedy,79326,8707
456,On The Seventh Day,6/8/2018,Cinema Guild,Drama,78270,8591
457,Becoming Astrid,11/23/2018,Music Box Films,Drama,76087,8352
458,93Queen,7/25/2018,Abramorama Films,Documentary,76056,8348
459,The Riot Act,9/14/2018,Hannover House,Thriller/Suspense,75506,8288
460,Tehran Taboo,2/14/2018,Kino Lorber,Drama,74758,8206
461,Bye Bye Germany,4/13/2018,Film Movement,Drama,73730,8093
462,The Last Suit,9/21/2018,Outsider,Drama,73548,8073
463,"Nico, 1988",8/1/2018,Magnolia Pictures,Drama,73304,8046
464,Helicopter Eela,10/12/2018,Eros Entertainment,Drama,71971,7900
465,Wastelander,1/12/2018,Indican Pictures,Action,70045,7688
466,Parchi,1/12/2018,Atlas Distribution,Comedy,69431,7621
467,Tom of Finland,10/13/2017,Kino Lorber,Drama,69409,7618
468,Outside In,3/30/2018,The Orchard,Drama,68492,7518
469,Where Hands Touch,9/14/2018,Vertical Entertai…,Drama,67743,7436
470,Chef Flynn,11/9/2018,Kino Lorber,Documentary,67686,7429
471,Under the Tree,7/6/2018,Magnolia Pictures,Black Comedy,67596,7419
472,The Doctor From India,4/20/2018,Zeitgeist,Documentary,67136,7369
473,The Big Bad Fox & Other Tales,10/19/2018,GKIDS,Comedy,66854,7338
474,3100: Run and Become,8/17/2018,Illumine Films,Documentary,65524,7192
475,Beuys,1/17/2018,Kino Lorber,Documentary,65410,7180
476,My Friend Dahmer,11/3/2017,FilmRise,Drama,64972,7131
477,Nancy,6/8/2018,Samuel Goldwyn Films,Thriller/Suspense,64011,7026
478,The Gardener,3/30/2018,Gravitas Ventures,Documentary,62734,6886
479,"Monrovia, Indiana",10/26/2018,Zipporah,Documentary,61737,6776
480,Never Goin’ Back,8/3/2018,A24,Comedy,61271,6725
481,Viper Club,10/26/2018,Roadside Attractions,Drama,60607,6652
482,Where is Kyra?,4/6/2018,Great Point Media,Drama,59717,6555
483,Bomb City,2/9/2018,Gravitas Ventures,Drama,59329,6512
484,"Westwood: Punk, Icon, Activist",6/8/2018,Greenwich,Documentary,58799,6454
485,A Kid Like Jake,6/1/2018,IFC Films,Drama,58403,6411
486,Cynthia,8/31/2018,Indican Pictures,Black Comedy,58090,6376
487,In Search of Greatness,11/2/2018,Self Distributed,Documentary,58090,6376
488,Woman Walks Ahead,6/29/2018,A24,Western,57528,6314
489,Ramen Heads,3/16/2018,Gunpowder & Sky,Documentary,57346,6294
490,Black 47,9/28/2018,IFC Films,Drama,57162,6275
491,Django,1/5/2018,Under the Milky Way,Documentary,56556,6208
492,The Great Silence (1969) (R…,3/30/2018,Film Movement,Western,53074,5825
493,Wanda (1971) (Re-Release),7/20/2018,Janus Films,Drama,52927,5809
494,Before We Vanish,2/2/2018,Super LTD,Drama,52087,5717
495,Garry Winogrand: All Things…,9/19/2018,Greenwich,Documentary,51194,5619
496,Mojin: The Worm Valley,1/4/2019,Well Go USA,Action,50583,5552
497,I am Not a Witch,9/7/2018,Film Movement,Drama,50318,5523
498,The China Hustle,3/30/2018,Magnolia Pictures,Documentary,48650,5340
499,Big Sonia,11/17/2017,Argot Pictures,Documentary,46704,5126
500,Bigger,10/12/2018,Freestyle Releasing,Drama,46382,5091
501,Hal,9/7/2018,Oscilloscope Pict…,Documentary,45889,5037
502,Summer in the Forest,3/23/2018,Abramorama Films,Documentary,45542,4999
503,Wait For Your Laugh,11/3/2017,Vitagraph Films,Documentary,45037,4943
504,What Will People Say,7/13/2018,Kino Lorber,Drama,44156,4846
505,Hitler’s Hollywood,4/11/2018,Kino Lorber,Documentary,43766,4804
506,The Other Side of Hope,12/1/2017,Janus Films,Comedy,43509,4775
507,Antonio Lopez 1970: Sex Fas…,9/14/2018,Film Movement,Documentary,43169,4738
508,The Sacrifice,11/7/2014,Kino Lorber,Drama,42789,4696
509,Western,2/16/2018,Cinema Guild,Drama,41042,4505
510,Young Lions of Gypsy,1/19/2018,IFC Films,Drama,40483,4444
511,"Hale County This Morning, T…",9/14/2018,Cinema Guild,Documentary,40333,4427
512,Submission,3/2/2018,Great Point Media,Drama,39985,4389
513,Namiya,1/5/2018,China Lion Film D…,Drama,39584,4345
514,Humor Me,1/12/2018,Shout! Factory,Comedy,38419,4217
515,Divide and Conquer: The Sto…,12/7/2018,Magnolia Pictures,Documentary,38036,4175
516,Gray Matter,5/18/2018,Indican Pictures,Horror,38034,4174
517,The Heart of Nuba,4/6/2018,Abramorama Films,Documentary,37880,4158
518,Golden Exits,2/9/2018,Sony Pictures,Drama,37801,4149
519,Krystal,4/13/2018,Paladin,Drama,37516,4118
520,Girls vs. Gangsters,3/9/2018,Well Go USA,Comedy,37115,4074
521,Breath,6/1/2018,FilmRise,Drama,37109,4073
522,Rodin,6/1/2018,Cohen Media Group,Drama,36720,4030
523,Mind Game (2004) (Re-Release),2/16/2018,GKIDS,Adventure,36613,4018
524,Racer and the Jailbird,5/4/2018,Neon,Drama,36522,4009
525,Le Corbeau,2/23/1948,Westport Internat…,Drama,36089,3961
526,The Road Movie,1/19/2018,Oscilloscope Pict…,Documentary,35757,3925
527,Liyana,10/10/2018,Abramorama Films,Documentary,34822,3822
528,That Summer,5/18/2018,Sundance Selects,Documentary,34556,3793
529,24 Frames: Before and After…,2/2/2018,Janus Films,Drama,34483,3785
530,Holy Hell,7/20/2018,Indican Pictures,Horror,34366,3772
531,"No Date, No Signature",8/1/2018,Distrib Films,Drama,33879,3718
532,Searching For Ingmar Bergman,11/2/2018,Oscilloscope Pict…,Documentary,33275,3652
533,God’s Own Country,10/25/2017,Samuel Goldwyn Films,Drama,32808,3601
534,Soller’s Point,5/11/2018,Oscilloscope Pict…,Drama,32608,3579
535,Just Getting Started,12/8/2017,Broad Green Pictures,Comedy,32608,3579
536,BPM (Beats per Minute),10/20/2017,The Orchard,Drama,32562,3574
537,Moynihan,10/3/2018,First Run Features,Documentary,31971,3509
538,Saving Brinton,9/22/2017,Barn Owl,Documentary,31630,3472
539,Good Manners,7/27/2018,Distrib Films,Horror,31177,3422
540,Poor Boy,7/13/2018,Indican Pictures,Western,31031,3406
541,Cold Water (1994) (Re-Release),4/27/2018,Janus Films,Drama,30209,3316
542,The Desert Bride,5/4/2018,Strand,Drama,29764,3267
543,Memories of Underdevelopmen…,1/12/2018,Janus Films,Drama,29647,3254
544,Same Kind of Different as Me,10/20/2017,Pure Flix Enterta…,Drama,29599,3249
545,Charm City,10/12/2018,PBS Distribution,Documentary,29335,3220
546,Horn From the Heart: The Pa…,10/17/2018,Abramorama Films,Documentary,28418,3119
547,The Apparition,9/7/2018,Music Box Films,Drama,28293,3105
548,On Her Shoulders,10/19/2018,Oscilloscope Pict…,Documentary,28288,3105
549,Senso,7/8/1968,Fleetwood Films,Drama,27286,2995
550,The Cured,2/23/2018,IFC Films,Horror,26630,2923
551,Milford Graves: Full Mantis,7/13/2018,Cinema Guild,Documentary,26443,2902
552,Belle de Jour,4/10/1968,Miramax,Drama,26331,2890
553,The Misandrists,5/25/2018,Cartilage Films,Comedy,26123,2867
554,Ridge Runners,1/19/2018,Indican Pictures,Drama,26019,2856
555,Jet Trash,4/27/2018,Indican Pictures,Drama,26002,2854
556,Birdboy: The Forgotten Chil…,12/15/2017,GKIDS,Horror,25628,2813
557,Swimming With Men,12/7/2018,IFC Films,Comedy,24888,2731
558,The Day After,5/11/2018,Cinema Guild,Drama,24776,2719
559,Vazante,1/12/2018,Music Box Films,Drama,23884,2621
560,Death House,3/2/2018,Hannover House,Horror,23833,2616
561,The Divine Order,10/27/2017,Kino Lorber,Drama,23797,2612
562,Let There Be Light,10/27/2017,Atlas Distribution,Drama,23403,2568
563,The Atomic Cafe,3/17/1982,Libra Films,Documentary,22293,2447
564,The Judge,4/13/2018,Idle Wild Films,Documentary,22257,2443
565,Winning Formula,7/27/2018,Indican Pictures,Comedy,22112,2427
566,Loving Pablo,10/5/2018,OTL Releasing,Drama,22017,2416
567,The Female Brain,2/9/2018,IFC Films,Comedy,21786,2391
568,A Paris Education,8/31/2018,Kino Lorber,Drama,21598,2370
569,Half the Picture,6/8/2018,Gravitas Ventures,Documentary,21595,2370
570,Ganja & Hess,4/23/1973,,Thriller/Suspense,21344,2342
571,The Happys,3/16/2018,Indican Pictures,Comedy,21108,2317
572,The Last Resort,12/21/2018,Kino Lorber,Documentary,20789,2281
573,The Workshop,3/23/2018,Strand,Drama,20590,2260
574,The Devil and Father Amorth,4/20/2018,The Orchard,Documentary,20449,2244
575,Apocalypsis,3/2/2018,Indican Pictures,Thriller/Suspense,20052,2201
576,The Charmer,12/5/2018,Film Movement,Thriller/Suspense,20049,2200
577,Eight Hours Don’t Make a Da…,3/14/2018,Janus Films,Drama,19987,2193
578,"One Sings, the Other Doesn’…",6/1/2018,Janus Films,Drama,19919,2186
579,Active Measures,8/31/2018,Super LTD,Documentary,19862,2180
580,Freak Show,1/12/2018,IFC Films,Comedy,19696,2162
581,To the Arctic 3D,4/20/2012,Warner Bros.,Documentary,19351,2124
582,Who We Are Now,5/25/2018,FilmRise,Drama,19128,2099
583,Oolong Courtyard:Kung Fu Sc…,8/24/2018,China Lion Film D…,Comedy,19065,2092
584,Anything,5/11/2018,Paladin,Drama,19037,2089
585,The Tag-Along 2,9/22/2017,Crimson Forest En…,Horror,18870,2071
586,Crime + Punishment,8/24/2018,IFC Films,Documentary,18644,2047
587,Mrs. Hyde,4/27/2018,Cartilage Films,Drama,18627,2044
588,306 Hollywood,9/28/2018,El Tigre Productions,Documentary,18399,2019
589,Quest,12/1/2017,First Run Features,Documentary,18216,1999
590,King of Hearts,6/19/1967,Lopert Pictures C…,,17646,1936
591,Life & Nothing More,10/24/2018,CFI,Drama,17613,1933
592,Gabriel and the Mountain,6/15/2018,Strand,Drama,17012,1867
593,Desolation,1/26/2018,Parade Deck Films,Thriller/Suspense,16920,1857
594,Goodland,5/11/2018,Parade Deck Films,Thriller/Suspense,16765,1840
595,Bob le flambeur,1/1/1959,Triumph Releasing,Drama,15586,1710
596,Thelma,11/10/2017,The Orchard,Drama,15380,1688
597,People’s Republic of Desire,11/30/2018,Tripod Media,Documentary,15241,1672
598,The Lucky Man,12/21/2017,Indican Pictures,Action,15221,1670
599,When You Read This Letter (…,9/12/2018,Rialto Pictures,Drama,15171,1665
600,Detour,11/30/1945,Producers Releasi…,Drama,14632,1606
601,A Prayer Before Dawn,4/13/2018,A24,Action,14453,1586
602,Weed the People,10/26/2018,Abramorama Films,Documentary,14419,1582
603,The Last Movie Star,3/30/2018,A24,Drama,14410,1581
604,Narcissister Organ Player,11/7/2018,Film Movement,Documentary,14319,1571
605,Ichi The Killer: Definitive…,11/10/2017,Well Go USA,Horror,14299,1569
606,The Escape,5/11/2018,IFC Films,Drama,14018,1539
607,The Boy Downstairs,2/16/2018,FilmRise,Romantic Comedy,13638,1497
608,Our Blood is Wine,3/9/2018,Music Box Films,Documentary,13348,1465
609,Here and Now,11/9/2018,AMBI,Drama,13337,1463
610,Shed Skin Papa,3/23/2018,China Lion Film D…,Comedy,13331,1463
611,Novitiate,10/27/2017,Sony Pictures Cla…,Drama,13296,1459
612,Stavisky,12/22/1974,Cinemation Indust…,Drama,13139,1442
613,Like Me,1/26/2018,Kino Lorber,Drama,12965,1423
614,"Lou Andreas-Salomé, The Aud…",4/20/2018,Cinema Libre,Drama,12875,1413
615,American Socialist: The Lif…,3/2/2018,First Run Features,Documentary,12610,1384
616,My Art,1/12/2018,Film Movement,Comedy,12554,1378
617,Head Full of Honey,11/30/2018,Warner Bros.,Drama,12350,1356
618,Tyrel,12/5/2018,Magnolia Pictures,Drama,12142,1332
619,The Most Unknown,5/18/2018,Abramorama Films,Documentary,12119,1330
620,Return of the Hero,8/31/2018,Distrib Films,Drama,12104,1328
621,Ex Libris: The New York Pub…,9/15/2017,Zipporah,Documentary,12008,1318
622,Minding the Gap,8/17/2018,Magnolia Pictures,Documentary,11998,1317
623,The Last Race,11/16/2018,Magnolia Pictures,Documentary,11947,1311
624,Victoria and Abdul,9/22/2017,Focus Features,Drama,11785,1293
625,Summer 03,9/28/2018,Blue Fox Entertai…,Comedy,11746,1289
626,This Is Our Land,4/18/2018,Distrib Films,Drama,11568,1269
627,Sicilian Ghost Story,11/30/2018,Strand,Drama,11350,1245
628,Rendezvous in July (1949) (…,8/1/2018,Rialto Pictures,Comedy,11321,1242
629,The Public Image is Rotten,9/14/2018,Abramorama Films,Documentary,11293,1239
630,Bullitt County,10/26/2018,Self Distributed,Thriller/Suspense,11257,1235
631,The Assassin’s Code,5/11/2018,Gravitas Ventures,Thriller/Suspense,11218,1231
632,The Wedding Party 2: Destin…,2/14/2018,IronFlix,Comedy,11140,1222
633,The Samuel Project,9/28/2018,in8 Releasing,Drama,11087,1217
634,Souvenir,3/2/2018,Strand,Drama,11078,1216
635,The Advocates,10/19/2018,Cinema Libre,Documentary,10402,1141
636,Heavy Trip,10/5/2018,Doppelganger Rele…,Comedy,10153,1114
637,River Runs Red,11/9/2018,Cinedigm,Thriller/Suspense,9893,1085
638,Please Stand By,1/26/2018,Magnolia Pictures,Drama,9868,1083
639,Mama Africa,1/19/2018,ArtMattan Product…,Documentary,9808,1076
640,Quai des Orfevres (1947) (R…,11/1/2002,,Drama,9800,1075
641,Kayak to Klemtu,5/25/2018,Mongrel Media,Adventure,9707,1065
642,The Quest of Alain Ducasse,6/8/2018,Magnolia Pictures,Documentary,9627,1056
643,Strangers on the Earth,5/4/2018,First Run Features,Documentary,9518,1044
644,El Mar La Mar,2/23/2018,Cinema Guild,Documentary,9065,995
645,Blood Feast,4/6/2018,Hannover House,Horror,8708,955
646,Un Traductor,10/19/2018,Film Movement,Drama,8630,947
647,November,2/23/2018,Oscilloscope Pict…,Drama,8620,946
648,Summer of 67,6/29/2018,Self Distributed,Drama,8492,932
649,Furlough,3/16/2018,IFC Films,Comedy,8472,930
650,Let Yourself Go,3/2/2018,Menemsha Entertai…,Comedy,8128,892
651,The Crime of Monsieur Lange,11/17/2017,Rialto Pictures,Comedy,8127,892
652,Kingsman: The Golden Circle,9/22/2017,20th Century Fox,Action,7799,856
653,Dark River,6/29/2018,FilmRise,Drama,7714,846
654,Legend of the Mountain (197…,2/2/2018,Kino Lorber,Thriller/Suspense,7639,838
655,American Chaos,9/14/2018,Sony Pictures Cla…,Documentary,7616,836
656,The Lodgers,2/23/2018,Epic Pictures Group,Horror,7362,808
657,Beauty and the Dogs,3/23/2018,Oscilloscope Pict…,Drama,7263,797
658,In Echo Park,10/12/2018,Indican Pictures,Drama,7072,776
659,This is Congo,6/29/2018,Abramorama Films,Documentary,7051,773
660,In the Land of Pomegranates,1/5/2018,First Run Features,Documentary,7014,769
661,Painless,9/21/2018,Indican Pictures,Thriller/Suspense,6940,761
662,Of Fathers and Sons,11/16/2018,Kino Lorber,Documentary,6936,761
663,Duck Butter,4/27/2018,The Orchard,Romantic Comedy,6877,754
664,On the Beach at Night Alone,11/17/2017,Cinema Guild,Drama,6806,747
665,Calling All Earthlings,6/29/2018,Carpe Stella,Documentary,6756,741
666,A Whale of a Tale,8/17/2018,Fine Line,Documentary,6747,740
667,School of Life,9/7/2018,Distrib Films,Comedy,6300,691
668,Spiral,6/22/2018,Cohen Media Group,Documentary,6279,689
669,The Nun (1966) (Re-Release),1/4/2019,Rialto Pictures,Drama,6273,688
670,The Quake,12/14/2018,Magnolia Pictures,Thriller/Suspense,6235,684
671,Lemonade,11/23/2018,Mongrel Media,Drama,5979,656
672,Bill Nye: Science Guy,10/27/2017,PBS Distribution,Documentary,5651,620
673,Dolores,9/1/2017,PBS Distribution,Documentary,5638,618
674,Shoah Four Sisters,11/14/2018,Cohen Media Group,Documentary,5512,605
675,Cuban Food Stories,8/10/2018,First Run Features,Documentary,5434,596
676,Postcards From London,11/9/2018,Strand,Drama,5312,583
677,"Distant Voices, Still Lives…",8/31/2018,Arrow Releasing,Drama,5234,574
678,Chavela,10/4/2017,Music Box Films,Documentary,5212,572
679,In Searching,11/9/2018,Indican Pictures,Adventure,5210,571
680,Intersection,6/15/2018,Indican Pictures,Drama,5116,561
681,The Texture of Falling,6/1/2018,Self Distributed,Drama,5010,549
682,Edward II,3/20/1992,Fine Line,Drama,4826,529
683,The Long Dumb Road,11/9/2018,Universal,Comedy,4667,512
684,Kangaroo,1/19/2018,Abramorama Films,Documentary,4547,499
685,Kickboxer: Retaliation,1/26/2018,Well Go USA,Action,4537,498
686,Weightless,11/9/2018,Paladin,Drama,4461,489
687,Stella’s Last Weekend,10/12/2018,Paladin,Comedy,4215,462
688,The Party’s Just Beginning,12/7/2018,The Orchard,Drama,4145,454
689,Brimstone & Glory,10/27/2017,Oscilloscope Pict…,Documentary,4036,443
690,Frank and Ava,12/7/2018,Gravitas Ventures,Drama,4009,440
691,Porto,11/17/2017,Kino Lorber,Drama,3863,424
692,The Second Time Around,12/14/2018,First Run Features,Romantic Comedy,3837,421
693,Song of Granite,11/15/2017,Oscilloscope Pict…,Drama,3774,414
694,The Family,8/3/2018,Film Movement,Drama,3696,405
695,Under the Wire,11/16/2018,Abramorama Films,Documentary,3429,376
696,Reinventing Marvin,3/30/2018,Mongrel Media,Drama,3420,375
697,The Cage Fighter,2/2/2018,IFC Films,Documentary,3267,359
698,Over the Limit,10/3/2018,Film Movement,Documentary,3243,355
699,The Ghosts of Johnson Woods,12/2/2016,Driving With Our …,Horror,3145,345
700,Hot to Trot,8/24/2018,First Run Features,Documentary,3133,343
701,Aida’s Secrets,10/20/2017,Music Box Films,Documentary,3082,338
702,Nelly,9/7/2018,Cinema Libre,Drama,3046,334
703,State Like Sleep,1/4/2019,The Orchard,Drama,2813,308
704,An L.A. Minute,8/24/2018,Strand,Comedy,2791,306
705,Nana,4/13/2018,First Run Features,Documentary,2784,305
706,The Paris Opera,10/18/2017,Film Movement,Documentary,2766,303
707,Straight Into a Storm,6/15/2018,Abramorama Films,Documentary,2684,294
708,12 Days,3/16/2018,Distrib Films,Documentary,2633,289
709,ACORN and the Firestorm,4/6/2018,First Run Features,Documentary,2621,287
710,Shadowman,12/1/2017,Film Movement,Documentary,2356,258
711,The Tribes of Palos Verdes,12/1/2017,IFC Films,Drama,2345,257
712,Frank Serpico,11/1/2017,IFC Films,Documentary,2214,243
713,A Wizard’s Tale,9/14/2018,Blue Fox Entertai…,Adventure,2150,236
714,Félicité,10/27/2017,Strand,Drama,2016,221
715,West of the Jordan River,1/26/2018,Kino Lorber,Documentary,1926,211
716,The Fencer,7/21/2017,CFI,Drama,1794,196
717,The Lost Village,10/19/2018,First Run Features,Documentary,1780,195
718,Permanent,12/15/2017,Magnolia Pictures,Comedy,1650,181
719,Rat Film,9/15/2017,Cinema Guild,Documentary,1627,178
720,Mama Africa,6/7/2002,,,1606,176
721,El Pacto,10/26/2018,Sony Pictures,Horror,1453,159
722,That Way Madness Lies,12/14/2018,First Run Features,Documentary,1447,158
723,Marrowbone,4/13/2018,Magnet Pictures,Horror,1377,151
724,Beauty & the Beholder,10/26/2018,Reel One Entertai…,Romantic Comedy,1368,150
725,Invisible Hands,11/23/2018,First Run Features,Documentary,1034,113
726,30 Years of Garbage: The Ga…,7/28/2017,Indican Pictures,Documentary,935,102
727,Two Men Went to War,3/26/2004,Indican Pictures,Comedy,925,101
728,Bad Lucky Goat,10/13/2017,Film Movement,Drama,835,91
729,TVTV: Video Revolutionaries,10/19/2018,First Run Features,Documentary,812,89
730,Billionaire Boys Club,8/17/2018,Vertical Entertai…,Drama,618,67
731,To Die is Hard,12/17/2010,Driving With Our …,Comedy,580,63
732,Higher Power,5/11/2018,Magnet Pictures,Thriller/Suspense,528,57
733,Mobile Homes,4/20/2018,Mongrel Media,Drama,449,49
734,Midget Zombie Takeover,2/8/2013,Driving With Our …,Comedy,402,44
735,Sweet Virginia,11/17/2017,IFC Films,Thriller/Suspense,301,33
