rank,movie,release_date,distributor,genre,gross,tickets_sold
85,Green Book,11/21/2018,Universal,Comedy,35230831,3867270
86,Death Wish,3/2/2018,MGM,Action,34017028,3734031
87,The Spy Who Dumped Me,8/3/2018,Lionsgate,Comedy,33562069,3684091
88,Second Act,12/21/2018,STX Entertainment,Comedy,32792366,3599601
89,Annihilation,2/23/2018,Paramount Pictures,Thriller/Suspense,32732301,3593008
90,Isle of Dogs,3/23/2018,Fox Searchlight,Comedy,32015231,3514295
91,Nobody’s Fool,11/2/2018,Paramount Pictures,Drama,31713110,3481132
92,Adrift,6/1/2018,STX Entertainment,Drama,31445011,3451702
93,Ferdinand,12/15/2017,20th Century Fox,Adventure,30863663,3387888
94,Robin Hood,11/21/2018,Lionsgate,Action,30645013,3363887
95,Super Troopers 2,4/20/2018,20th Century Fox,Comedy,30617396,3360856
96,Slender Man,8/10/2018,Sony Pictures,Horror,30564825,3355085
97,Three Billboards Outside Eb…,11/10/2017,Fox Searchlight,Black Comedy,30349111,3331406
98,Coco,11/22/2017,Walt Disney,Musical,29891816,3281209
99,Teen Titans Go! To The Movies,7/27/2018,Warner Bros.,Adventure,29790236,3270059
100,Hostiles,12/22/2017,Entertainment Stu…,Western,29733369,3263816
101,Vice,12/25/2018,Annapurna Pictures,Black Comedy,29727497,3263172
102,The Hate U Give,10/19/2018,20th Century Fox,Drama,29668644,3256712
103,Holmes & Watson,12/25/2018,Sony Pictures,Comedy,28313749,3107985
104,"I, Tonya",12/8/2017,Neon,Black Comedy,27663198,3036574
105,Searching,8/24/2018,Sony Pictures,Thriller/Suspense,26015149,2855669
106,Winchester,2/2/2018,CBS Films,Horror,25091816,2754316
107,The Strangers: Prey at Night,3/9/2018,Aviron Pictures,Horror,24431472,2681830
108,White Boy Rick,9/14/2018,Sony Pictures,Drama,24004833,2634998
109,Molly’s Game,12/25/2017,STX Entertainment,Drama,23403264,2568964
110,Won’t You Be My Neighbor?,6/8/2018,Focus Features,Documentary,22835787,2506673
111,Overlord,11/9/2018,Paramount Pictures,Action,21704844,2382530
112,The Fog,2/1/1980,Avco Embassy,Horror,21445318,2354041
113,Proud Mary,1/12/2018,Sony Pictures,Action,20868638,2290739
114,The Happytime Murders,8/24/2018,STX Entertainment,Black Comedy,20706452,2272936
115,Phantom Thread,12/25/2017,Focus Features,Drama,20670365,2268975
116,Superfly,6/13/2018,Sony Pictures,Action,20537137,2254350
117,Escape Room,1/4/2019,Sony Pictures,Thriller/Suspense,18238172,2001994
118,Bad Times at the El Royale,10/12/2018,20th Century Fox,Thriller/Suspense,17839115,1958190
119,Show Dogs,5/18/2018,Global Road,Comedy,17744685,1947824
120,Operation Finale,8/29/2018,MGM,Drama,17612099,1933271
121,"Paul, Apostle of Christ",3/23/2018,Sony Pictures,Drama,17547999,1926234
122,Lady Bird,11/3/2017,A24,Drama,17525810,1923799
123,Sorry to Bother You,7/6/2018,Annapurna Pictures,Comedy,17493096,1920208
124,Chappaquiddick,4/6/2018,Entertainment Stu…,Thriller/Suspense,17395521,1909497
125,Forever My Girl,1/19/2018,Roadside Attractions,Drama,16376066,1797592
126,The Favourite,11/23/2018,Fox Searchlight,Black Comedy,15888465,1744069
127,Mortal Engines,12/14/2018,Universal,Action,15767725,1730815
128,Hunter Killer,10/26/2018,Lionsgate,Thriller/Suspense,15767460,1730786
129,The Girl in the Spider’s Web,11/9/2018,Sony Pictures,Thriller/Suspense,14828555,1627722
130,The Possession of Hannah Grace,11/30/2018,Sony Pictures,Horror,14682696,1611711
131,RBG,5/4/2018,Magnolia Pictures,Documentary,14017361,1538678
132,Eighth Grade,7/13/2018,A24,Drama,13539710,1486246
133,Mary Queen of Scots,12/7/2018,Focus Features,Drama,13424885,1473642
134,Call Me by Your Name,11/24/2017,Sony Pictures Cla…,Drama,13158311,1444381
135,The Darkest Minds,8/3/2018,20th Century Fox,Thriller/Suspense,12695691,1393599
136,All the Money in the World,12/25/2017,Sony Pictures,Thriller/Suspense,12393945,1360476
137,Three Identical Strangers,6/29/2018,Neon,Documentary,12320845,1352452
138,Upgrade,6/1/2018,BH Tilt,Thriller/Suspense,11977130,1314723
139,Padmavati,1/25/2018,Paramount Pictures,Drama,11846060,1300335
140,Free Solo,9/28/2018,Greenwich,Documentary,11447188,1256551
141,The Old Man and the Gun,9/28/2018,Fox Searchlight,Comedy,11198543,1229258
142,Hell Fest,9/28/2018,CBS Films,Horror,11107431,1219257
143,Wonder,11/17/2017,Lionsgate,Drama,10863515,1192482
144,Welcome to Marwen,12/21/2018,Universal,Drama,10406625,1142329
145,The Miracle Season,4/6/2018,LD Entertainment,Drama,10230620,1123009
146,Midnight Sun,3/23/2018,Global Road,Drama,9561064,1049513
147,Tully,5/4/2018,Focus Features,Comedy,9369755,1028513
148,Traffik,4/20/2018,Lionsgate,Thriller/Suspense,9186156,1008360
149,Unfriended: Dark Web,7/20/2018,OTL Releasing,Horror,8866745,973298
150,Early Man,2/16/2018,Lionsgate,Adventure,8267544,907524
151,The Wife,8/17/2018,Sony Pictures Cla…,Drama,8206930,900870
152,The Death of Stalin,3/9/2018,IFC Films,Black Comedy,8046456,883255
153,Sanju,6/29/2018,20th Century Fox,Drama,7909317,868202
154,Unsane,3/23/2018,Bleecker Street,Thriller/Suspense,7690044,844132
155,Beautiful Boy,10/12/2018,Amazon Studios,Drama,7610815,835435
156,Can You Ever Forgive Me?,10/19/2018,Fox Searchlight,Drama,7543969,828098
157,Mid90s,10/19/2018,A24,Drama,7362439,808171
158,Downsizing,12/22/2017,Paramount Pictures,Comedy,7289080,800119
159,Dog Days,8/8/2018,LD Entertainment,Romantic Comedy,6809080,747429
160,Boy Erased,11/2/2018,Focus Features,Drama,6788692,745191
161,Hotel Artemis,6/8/2018,Global Road,Thriller/Suspense,6708137,736348
162,A.X.L.,8/24/2018,Global Road,Drama,6501381,713653
163,Fahrenheit 11/9,9/21/2018,Briarcliffe Enter…,Documentary,6352306,697289
164,Unbroken: Path to Redemption,9/14/2018,Pure Flix Enterta…,Drama,6216897,682425
165,The Hurricane Heist,3/9/2018,Entertainment Stu…,Thriller/Suspense,6115824,671330
166,Every Day,2/23/2018,Orion Pictures,Drama,6112914,671011
167,Leave No Trace,6/29/2018,Bleecker Street,Drama,6046104,663677
168,Death of a Nation,8/3/2018,Quality Flix,Documentary,5885881,646090
169,Pandas,4/6/2018,IMAX Films,Documentary,5757906,632042
170,God’s Not Dead: A Light in …,3/30/2018,Pure Flix Enterta…,Drama,5728940,628862
171,Kin,8/31/2018,Lionsgate,Action,5718096,627672
172,They Shall Not Grow Old,12/17/2018,Warner Bros.,Documentary,5703839,626107
173,My Hero Academia: Two Heroes,9/25/2018,FUNimation,Adventure,5427591,595783
174,Colette,9/21/2018,Bleecker Street,Drama,5126985,562786
175,Action Point,6/1/2018,Paramount Pictures,Comedy,5059608,555391
176,Beirut,4/11/2018,Bleecker Street,Action,5019226,550957
177,Gringo,3/9/2018,STX Entertainment,Black Comedy,4969853,545538
178,Samson,2/16/2018,Pure Flix Enterta…,Drama,4719928,518104
179,Father Figures,12/22/2017,Warner Bros.,Comedy,4615957,506691
180,Johnny English Strikes Again,10/26/2018,Focus Features,Comedy,4412170,484322
181,If Beale Street Could Talk,12/14/2018,Annapurna Pictures,Drama,4409248,484000
182,Blindspotting,7/20/2018,Lionsgate,Drama,4333394,475674
183,Gotti,6/15/2018,Vertical Entertai…,Drama,4286367,470512
184,Ya Veremos,8/31/2018,Lionsgate,Drama,4165949,457294
185,Simmba,12/28/2018,Reliance Entertai…,Action,4115790,451788
186,Life Itself,9/21/2018,Amazon Studios,Drama,4095431,449553
