rank,movie,release_date,distribution,genre,gross,tickets_sold
84,Underworld: Blood Wars,1/6/2017,Sony Pictures,Action,30353973,3383943
85,The Mountain Between Us,10/6/2017,20th Century Fox,Thriller/Suspense,30348555,3383339
86,Life,3/24/2017,Sony Pictures,Thriller/Suspense,30234022,3370571
87,Why Him?,12/23/2016,20th Century Fox,Comedy,29689870,3309907
88,The Nut Job 2: Nutty by Nature,8/11/2017,Open Road,Adventure,28370522,3162822
89,Fences,12/16/2016,Paramount Pictures,Drama,27939289,3114747
90,Rings,2/3/2017,Paramount Pictures,Horror,27793018,3098441
91,Logan Lucky,8/18/2017,Bleecker Street,Comedy,27778642,3096838
92,Home Again,9/8/2017,Open Road,Romantic Comedy,27020284,3012294
93,Resident Evil: The Final Ch…,1/27/2017,Sony Pictures,Action,26844692,2992719
94,The House,6/30/2017,Warner Bros.,Comedy,25584504,2852230
95,Gifted,4/7/2017,Fox Searchlight,Drama,24801212,2764907
96,Three Billboards Outside Eb…,11/10/2017,Fox Searchlight,Black Comedy,24164629,2693939
97,The Bye Bye Man,1/13/2017,STX Entertainment,Thriller/Suspense,22395806,2496745
98,Victoria and Abdul,9/22/2017,Focus Features,Drama,22233285,2478627
99,Rough Night,6/16/2017,Sony Pictures,Black Comedy,22105643,2464397
100,My Little Pony: The Movie,10/6/2017,Lionsgate,Adventure,21885107,2439811
101,Leap!,8/25/2017,Weinstein Co.,Adventure,21858070,2436797
102,Sleepless,1/13/2017,Open Road,Thriller/Suspense,20783704,2317024
103,Diary of a Wimpy Kid: The L…,5/19/2017,20th Century Fox,Adventure,20738724,2312009
104,The Circle,4/28/2017,STX Entertainment,Thriller/Suspense,20497844,2285155
105,Manchester-by-the Sea,11/18/2016,Roadside Attractions,Drama,19224674,2143218
106,Baahubali 2: The Conclusion,4/28/2017,Great India Films,Action,18985794,2116587
107,CHiPS,3/24/2017,Warner Bros.,Action,18600152,2073596
108,Assassin’s Creed,12/21/2016,20th Century Fox,Action,18232781,2032640
109,Only the Brave,10/20/2017,Sony Pictures,Drama,18181288,2026899
110,Darkest Hour,11/22/2017,Focus Features,Drama,18132857,2021500
111,The Disaster Artist,12/1/2017,A24,Comedy,17861795,1991281
112,mother!,9/15/2017,Paramount Pictures,Thriller/Suspense,17800004,1984392
113,The Zookeeper’s Wife,3/31/2017,Focus Features,Drama,17445186,1944836
114,The Glass Castle,8/11/2017,Lionsgate,Drama,17273059,1925647
115,Downsizing,12/22/2017,Paramount Pictures,Comedy,17160674,1913119
116,Flatliners,9/29/2017,Sony Pictures,Thriller/Suspense,16883115,1882176
117,Detroit,8/4/2017,Annapurna Pictures,Drama,16790139,1871810
118,The Shape of Water,12/1/2017,Fox Searchlight,Drama,15670177,1746954
119,Moonlight,10/21/2016,A24,Drama,15245163,1699572
120,The Case for Christ,4/7/2017,Pure Flix Enterta…,Drama,14678714,1636422
121,Wish Upon,7/14/2017,Broad Green Pictures,Horror,14301505,1594370
122,It Comes at Night,6/9/2017,A24,Horror,13985117,1559098
123,Born in China,4/21/2017,Walt Disney,Documentary,13873211,1546623
124,Megan Leavey,6/9/2017,Bleecker Street,Drama,13406304,1494571
125,Father Figures,12/22/2017,Warner Bros.,Comedy,12885287,1436487
126,The Founder,12/31/2016,Weinstein Co.,Drama,12786053,1425424
127,All the Money in the World,12/25/2017,Sony Pictures,Thriller/Suspense,12712380,1417211
128,Battle of the Sexes,9/22/2017,Fox Searchlight,Drama,12638526,1408977
129,Before I Fall,3/3/2017,Open Road,Drama,12241072,1364668
130,Night of the Living Dead,10/1/1968,Walter Reade Orga…,Horror,12087064,1347498
131,"Roman J. Israel, Esq.",11/17/2017,Sony Pictures,Drama,11851274,1321212
132,Unforgettable,4/21/2017,Warner Bros.,Thriller/Suspense,11368012,1267337
133,Fantastic Beasts and Where …,11/18/2016,Warner Bros.,Adventure,11362002,1266667
134,The Beguiled,6/23/2017,Focus Features,Western,10576669,1179115
135,Live by Night,12/25/2016,Warner Bros.,Drama,10283585,1146442
136,The Belko Experiment,3/17/2017,BH Tilt,Horror,10166820,1133424
137,Thank You for Your Service,10/27/2017,Universal,Drama,9479390,1056788
138,Marshall,10/13/2017,Open Road,Drama,9468318,1055554
139,Rock Dog,2/24/2017,Lionsgate,Adventure,9420546,1050228
140,The Lost City of Z,4/14/2017,Bleecker Street,Action,8574339,955890
141,Arrival,11/11/2016,Paramount Pictures,Drama,8354449,931376
142,The Promise,4/21/2017,Open Road,Drama,8224288,916865
143,A Cure for Wellness,2/17/2017,20th Century Fox,Thriller/Suspense,8106986,903789
144,The Space Between Us,2/3/2017,STX Entertainment,Drama,7885294,879074
145,Jackie,12/2/2016,Fox Searchlight,Drama,7490669,835080
146,Gold,1/27/2017,Weinstein Co.,Drama,7227038,805690
147,Let There Be Light,10/27/2017,Atlas Distribution,Drama,7210068,803797
148,I Am Not Your Negro,2/3/2017,Magnolia Pictures,Documentary,7123919,794193
149,Beatriz at Dinner,6/9/2017,Roadside Attractions,Drama,7115854,793294
150,Birth of the Dragon,8/25/2017,BH Tilt,Action,6901965,769449
151,Silence,12/23/2016,Paramount Pictures,Drama,6789497,756911
152,Collateral Beauty,12/16/2016,Warner Bros.,Drama,6673543,743985
153,The Snowman,10/20/2017,Universal,Thriller/Suspense,6670765,743675
154,Same Kind of Different as Me,10/20/2017,Pure Flix Enterta…,Drama,6394006,712821
155,Loving Vincent,9/22/2017,Good Deed Enterta…,Drama,6269689,698961
156,Lowriders,5/12/2017,BH Tilt,Drama,6179955,688958
157,Maudie,6/16/2017,Sony Pictures Cla…,Drama,6170998,687959
158,Just Getting Started,12/8/2017,Broad Green Pictures,Comedy,6036997,673020
159,All Saints,8/25/2017,Sony Pictures,Drama,5802208,646846
160,Suburbicon,10/27/2017,Paramount Pictures,Black Comedy,5775178,643832
161,Paris Can Wait,5/12/2017,Sony Pictures Cla…,Romantic Comedy,5608745,625278
162,The Man Who Invented Christmas,11/22/2017,Bleecker Street,Adventure,5575759,621600
163,20th Century Women,12/25/2016,A24,Drama,5486187,611615
164,Molly’s Game,12/25/2017,STX Entertainment,Drama,5377480,599496
165,The Florida Project,10/6/2017,A24,Drama,5297299,590557
166,Your Name,4/7/2017,FUNimation,Drama,5000181,557433
167,Call Me by Your Name,11/24/2017,Sony Pictures Cla…,Drama,4906869,547031
168,Tiger Zinda Hai,12/22/2017,Yash Raj Films,Action,4572231,509724
169,The Book of Henry,6/16/2017,Focus Features,Drama,4288104,478049
170,Stronger,9/22/2017,Roadside Attractions,Drama,4211129,469468
171,The Hero,6/9/2017,The Orchard,Drama,4077333,454552
172,Sleight,4/28/2017,High Top Releasing,Action,3930990,438237
173,A United Kingdom,2/10/2017,Fox Searchlight,Drama,3902185,435026
174,Norman: The Moderate Rise a…,4/14/2017,Sony Pictures Cla…,Drama,3814868,425291
175,Friend Request,9/22/2017,Entertainment Stu…,Thriller/Suspense,3759078,419072
176,A Monster Calls,12/23/2016,Focus Features,Drama,3740823,417037
177,Office Christmas Party,12/9/2016,Paramount Pictures,Comedy,3630209,404705
178,Table 19,3/3/2017,Fox Searchlight,Comedy,3614896,402998
179,Their Finest,4/7/2017,STX Entertainment,Romantic Comedy,3603484,401726
180,Phoenix Forgotten,4/21/2017,Entertainment Stu…,Thriller/Suspense,3600146,401354
181,Trolls,11/4/2016,20th Century Fox,Adventure,3576772,398748
182,An Inconvenient Sequel,7/28/2017,Paramount Vantage,Documentary,3496795,389832
183,Til Death Do Us Part,9/29/2017,Novus Content,Thriller/Suspense,3424454,381767
184,Colossal,4/7/2017,Neon,Drama,3194575,356139
185,Dangal,12/21/2016,UTV Communications,Action,3165967,352950
186,Close Encounters of the Thi…,11/16/1977,Columbia,Adventure,3100479,345650
187,Ingrid Goes West,8/11/2017,Neon,Black Comedy,3021133,336804
188,2017 Oscar Shorts,2/10/2017,ShortsHD,Multiple Genres,2835355,316093
189,KEDi,2/10/2017,Oscilloscope Pict…,Documentary,2834262,315971
190,Wolf Warrior 2,7/28/2017,The H Collective,Action,2721100,303355
191,My Cousin Rachel,6/9/2017,Fox Searchlight,Drama,2716368,302828
192,Mayweather vs. McGregor,8/26/2017,Fathom Events,Concert/Perfor…,2620183,292105
