rank,movie,release_date,distributor,genre,2016 Gross,Tickets Sold
400,Requiem For the American Dream,1/29/2016,Gravitas Ventures,Documentary,130152,15046
401,Sweet Bean,3/18/2016,Kino Lorber,Drama,124800,14427
402,Spirits’ Homecoming,3/25/2016,Pan Media & Enter…,Drama,123704,14301
403,A War,2/12/2016,Magnolia Pictures,Drama,122902,14208
404,Mojin: The Lost Legend,12/18/2015,China Lion Film D…,Adventure,121914,14094
405,Miss Sharon Jones,7/29/2016,Starz Media,Documentary,120880,13974
406,Hockney,4/22/2016,Film Movement,Documentary,120745,13958
407,Three,6/24/2016,Well Go USA,Action,119550,13820
408,Theeb,11/6/2015,Film Movement,Adventure,118320,13678
409,Caged No More,1/22/2016,Freestyle Releasing,Thriller/Suspense,114959,13290
410,The Measure of a Man,4/15/2016,Kino Lorber,Drama,112391,12993
411,The Boy and the World,12/11/2015,GKIDS,Adventure,111899,12936
412,Elevator to the Gallows,6/10/1961,Rialto Pictures,Drama,110193,12739
413,Remember the Goal,8/26/2016,Five & Two Pictures,Drama,109815,12695
414,Seasons,11/11/2016,Music Box Films,Documentary,109755,12688
415,Zero Days,7/8/2016,Magnolia Pictures,Documentary,109649,12676
416,Love the Coopers,11/13/2015,CBS Films,Comedy,108974,12598
417,Aferim!,1/22/2016,Big World Pictures,Black Comedy,108110,12498
418,Against the Wild: Survive t…,2/26/2016,Anchor Bay Entert…,Adventure,107953,12480
419,Chimes at Midnight,1/1/2016,Janus Films,Comedy,107766,12458
420,Yellow Day,9/19/2014,Self Distributed,Adventure,107325,12407
421,Until Forever,2/12/2016,CanZion Films,Drama,106833,12350
422,Decalogue,6/9/2000,New Yorker,Drama,105764,12227
423,Peggy Guggenheim: Art Addict,11/6/2015,Submarine Deluxe,Documentary,104844,12120
424,Demon,9/9/2016,The Orchard,Horror,104039,12027
425,Puerto Ricans in Paris,6/10/2016,Focus World,Comedy,102890,11894
426,Victor,9/15/2016,CanZion Films,Drama,102384,11836
427,Best Worst Thing That Ever …,11/18/2016,Abramorama Films,Documentary,102233,11818
428,Tale of Tales,4/22/2016,IFC Films,Drama,102186,11813
429,Cameraperson,9/9/2016,Janus Films,Documentary,102033,11795
430,Paterson,12/28/2016,Bleecker Street,Comedy,100825,11656
431,Our Last Tango,4/15/2016,Strand,Documentary,100086,11570
432,Under the Sun (2016),7/6/2016,Icarus Films,Documentary,99436,11495
433,Rock On 2,11/11/2016,Eros Entertainment,Musical,98868,11429
434,Tower,10/12/2016,Kino Lorber,Drama,98814,11423
435,Hitchcock/Truffaut,12/2/2015,Cohen Media Group,Documentary,98108,11341
436,Heart of a Dog,10/21/2015,Abramorama Films,Documentary,98070,11337
437,Seondal: The Man who Sells …,7/15/2016,CJ Entertainment,Action,97223,11239
438,Toni Erdmann,12/25/2016,Sony Pictures Cla…,Comedy,96893,11201
439,Never Gone,7/15/2016,China Lion Film D…,Drama,96421,11146
440,Ingrid Bergman - In Her Own…,11/13/2015,Rialto Pictures,Documentary,95767,11071
441,Live by Night,12/25/2016,Warner Bros.,Drama,94970,10979
442,Space Station,4/19/2002,IMAX Films,Documentary,94440,10917
443,New York New York,4/15/2016,China Lion Film D…,Drama,92377,10679
444,Other People,9/9/2016,Self Distributed,Drama,91441,10571
445,Morris from America,8/19/2016,A24,Drama,91151,10537
446,Fireworks Wednesday,3/16/2016,Grasshopper Film,Drama,90519,10464
447,No One’s Life Is Easy: So I…,7/1/2016,China Lion Film D…,Romantic Comedy,89408,10336
448,"My Love, Don't Cross That R…",6/17/2016,Film Movement,Documentary,88018,10175
449,Sand Storm,9/28/2016,Kino Lorber,Drama,86800,10034
450,Author: The JT LeRoy Story,9/9/2016,Magnolia Pictures,Documentary,85999,9942
451,Los sures,4/15/2016,Oscilloscope Pict…,Documentary,83992,9710
452,Mountains May Depart,2/12/2016,Kino Lorber,Drama,82913,9585
453,Cock and Bull,9/16/2016,China Lion Film D…,Comedy,82778,9569
454,A Street Cat Named Bob,11/18/2016,Cleopatra Films,Drama,82703,9561
