rank,movie,release_date,distributor,genre,2016 Gross,Tickets Sold
675,"Kiki, Love to Love",11/11/2016,Strand,Romantic Comedy,12450,1439
676,Elstree 1976,5/6/2016,FilmRise,Documentary,12173,1407
677,Fritz Lang’s Destiny,5/20/2016,Kino Lorber,Thriller/Suspense,12156,1405
678,Hot Water,5/5/2016,Indican Pictures,Documentary,12101,1398
679,When Two Worlds Collide,8/17/2016,First Run Features,Documentary,12080,1396
680,A Reason,8/28/2015,Indican Pictures,Drama,11829,1367
681,Remember You,1/15/2016,CJ Entertainment,Drama,11800,1364
682,History of Jazz: Oxygen for…,8/31/2013,Indican Pictures,Documentary,11755,1358
683,Lucha Mexico,7/15/2016,Kino Lorber,Documentary,11722,1355
684,Don’t Call Me Son,11/2/2016,Zeitgeist,Drama,11678,1350
685,The Ruins of Lifta,9/23/2016,First Run Features,Documentary,11548,1335
686,Harry Benson: Shoot First,12/9/2016,Magnolia Pictures,Documentary,11398,1317
687,Viktoria,4/29/2016,Big World Pictures,Drama,11314,1307
688,Theo Who Lived,9/30/2016,Zeitgeist,Documentary,11271,1303
689,Anonymous,12/2/2016,Archstone Enterta…,Drama,11239,1299
690,A Matter of Faith,10/17/2014,Five & Two Pictures,Drama,10556,1220
691,National Bird,11/11/2016,FilmRise,Documentary,10470,1210
692,Flowers,10/30/2015,Music Box Films,Drama,10330,1194
693,Serial Killer 1,6/17/2016,Kino Lorber,Drama,10330,1194
694,Approaching the Unknown,6/3/2016,Vertical Entertai…,Drama,10232,1182
695,Beta Test,7/22/2016,Mirror Images Ltd,Action,10104,1168
696,River of Grass,3/11/2016,Oscilloscope Pict…,Drama,10070,1164
697,Into the Forest,7/29/2016,A24,Drama,9995,1155
698,Yosemite,1/1/2016,Monterey Media,Drama,9470,1094
699,An Eye for Beauty,4/15/2016,Monument Releasing,Drama,9395,1086
700,What Happened Last Night,11/4/2016,Gemelli Productions,Comedy,9244,1068
701,Frank & Lola,12/9/2016,Paladin,Drama,9188,1062
702,Made in France,9/23/2016,Under the Milky Way,Thriller/Suspense,9117,1053
703,Ocean Waves,12/28/2016,GKIDS,Drama,9089,1050
704,Chronic,9/23/2016,Monument Releasing,Drama,9033,1044
705,The Last King,6/17/2016,Magnet Pictures,Action,8905,1029
706,Reparation,9/4/2016,Red Dirt Pictures,Drama,8752,1011
707,Providence,2/12/2016,Main Street,Drama,8556,989
708,Butterfly Girl,2/27/2015,Indican Pictures,Documentary,8547,988
709,We Are Twisted F***ing Sister!,2/15/2016,Music Box Films,Documentary,8277,956
710,The Olivia Experiment,8/22/2014,Indican Pictures,Comedy,8256,954
711,Silicon Cowboys,9/16/2016,FilmRise,Documentary,8239,952
712,Nightlights,8/15/2014,Indican Pictures,Drama,8140,941
713,Golden Kingdom,6/17/2016,Kino Lorber,Drama,8077,933
714,The Other Side (2015),5/20/2016,Film Movement,Documentary,8074,933
715,Talent Has Hunger,3/11/2016,First Run Features,Documentary,7998,924
716,Portrait of a Garden,10/26/2016,Grasshopper Film,Documentary,7914,914
717,Coming Up Roses,11/9/2012,Dada Films,Drama,7732,893
718,The Lost Arcade,8/12/2016,26 Aries,Documentary,7500,867
719,Tab Hunter Confidential,10/15/2015,,Documentary,7489,865
720,Old Stone,11/30/2016,Zeitgeist,Thriller/Suspense,7476,864
721,Indian Point,7/8/2016,First Run Features,Documentary,7251,838
722,The Pearl Button,10/23/2015,Kino Lorber,Documentary,7237,836
723,The Preppie Connection,3/18/2016,IFC Films,Drama,7138,825
724,Rosenwald,8/14/2015,The Ciesla Founda…,Documentary,7033,813
725,The Brainwashing of My Dad,3/18/2016,JSenko Productions,Documentary,7028,812
726,Magnus,11/18/2016,FilmRise,Documentary,6921,800
727,Boom Bust Boom,3/11/2016,Brainstorm Media,Documentary,6896,797
728,Behind the White Glasses: P…,3/4/2016,Parade Deck Films,Documentary,6840,790
729,Mad Tiger,3/18/2016,Film Movement,Documentary,6823,788
730,The Dying of the Light,4/7/2016,First Run Features,Documentary,6627,766
731,Spices of Liberty,10/24/2016,Hannover House,Drama,6625,765
732,Gone Doggy Gone,6/26/2015,Indican Pictures,Comedy,6609,764
733,"Ugly, Dirty and Bad",10/21/2016,Film Movement,Drama,6590,761
734,The Charnel House,11/4/2016,Freestyle Releasing,Thriller/Suspense,6332,732
735,Ghost Team,8/12/2016,The Orchard,Comedy,6245,721
736,Slash,12/9/2016,Gravitas Ventures,Comedy,5902,682
737,Undrafted,7/15/2016,Vertical Entertai…,Comedy,5777,667
738,Tanna,9/16/2016,Lightyear Enterta…,Drama,5711,660
739,Klown Forever,9/2/2016,Drafthouse Films,Comedy,5700,658
740,It Had to be You,10/21/2016,Samuel Goldwyn Films,Romantic Comedy,5302,612
741,The Carer,9/9/2016,Corinth Films,Drama,5102,589
742,A Perfect Day,1/15/2016,IFC Films,Drama,5002,578
743,Call Her Applebroog,6/10/2016,Zeitgeist,Documentary,4842,559
744,Roseanne for President!,7/1/2016,IFC Films,Documentary,4734,547
745,Marinoni: The Fire in the F…,4/1/2016,First Run Features,Documentary,4696,542
746,Blood on the Mountain,11/18/2016,Abramorama Films,Documentary,4664,539
747,Sworn Virgin,4/22/2016,Strand,Drama,4636,535
748,Miss Stevens,9/16/2016,The Orchard,Comedy,4611,533
749,The Automatic Hate,3/11/2016,Film Movement,Drama,4603,532
750,Search Party,5/13/2016,Focus World,Comedy,4571,528
751,Synchronicity,1/22/2016,Magnolia Pictures,Thriller/Suspense,4505,520
752,"Arabian Nights: Volume 3, T…",12/18/2015,Kino Lorber,Documentary,4502,520
753,Noma: My Perfect Storm,12/18/2015,Magnolia Pictures,Documentary,4430,512
754,On Meditation,7/27/2016,Kino Lorber,Documentary,4322,499
755,Auto Shop of Horrors,9/23/2016,Driving With Our …,Comedy,4300,497
756,Breaking a Monster,6/24/2016,Abramorama Films,Documentary,4212,486
757,Among the Believers,9/30/2016,First Run Features,Documentary,4189,484
758,I Don’t Belong Anywhere: Th…,3/30/2016,Icarus Films,Documentary,4069,470
759,Coming Through the Rye,10/14/2016,Eammon Films,Drama,4000,462
760,The Hollow,10/7/2016,Uncork'd Entertai…,Thriller/Suspense,3755,434
761,Arabian Nights,12/25/1942,Universal,Adventure,3719,429
762,The Last Film Festival,9/16/2016,Monterey Media,Comedy,3558,411
763,Amy,7/3/2015,A24,Documentary,3528,407
764,Mi America,10/16/2016,Industrial House …,Drama,3330,384
765,Burning Bodhi,3/18/2016,Monterey Media,Drama,3289,380
766,"Arabian Nights: Vol. 1, The…",12/4/2015,Kino Lorber,Drama,3203,370
767,In Harmony,4/15/2016,Distrib Films,Drama,3144,363
768,Chosen,12/16/2016,Hannover House,Drama,3057,353
769,Best and Most Beautiful Things,12/2/2016,First Run Features,Documentary,3016,348
770,Hooligan Sparrow,7/22/2016,The Film Collabor…,Documentary,3000,346
771,Moana,1/7/1926,Paramount Pictures,Documentary,2993,346
772,The Bad Kids,12/16/2016,FilmRise,Documentary,2977,344
773,A Kind of Murder,12/16/2016,Magnolia Pictures,Thriller/Suspense,2915,336
774,The Professor: Tai Chi's Jo…,5/6/2016,First Run Features,Documentary,2852,329
775,The Summer of Sangaile,11/20/2015,Strand,Drama,2780,321
776,White Lies,3/4/2016,ArtMattan Product…,Drama,2760,319
777,The Forbidden Room,10/7/2015,Kino Lorber,Comedy,2670,308
778,Mekong Hotel,3/4/2016,Strand,Multiple Genres,2502,289
779,The World of Kanako,12/4/2015,Drafthouse Films,Drama,2498,288
780,Homeland: Iraq Year Zero,10/6/2016,Kino Lorber,Documentary,2491,287
781,On War,11/20/2015,Indican Pictures,Comedy,2414,279
782,"1,000 Rupee Note",9/23/2016,Kino Lorber,Drama,2404,277
783,Memoria,4/8/2016,Monterey Media,Drama,2242,259
784,Vigilante Diaries,6/24/2016,Anchor Bay Entert…,Action,1991,230
785,The Watermelon Woman,11/10/2016,First Run Features,Drama,1989,229
786,Skiptrace,9/2/2016,Saban Films,Action,1792,207
787,A Beautiful Now,9/2/2016,Monterey Media,Drama,1714,198
788,In Her Name,12/2/2016,Distrib Films,Drama,1623,187
789,"Arabian Nights: Volume 2, T…",12/11/2015,Kino Lorber,Drama,1559,180
790,Hyena Road,3/11/2016,Samuel Goldwyn Films,Drama,1430,165
791,A Small Good Thing,8/19/2016,Kino Lorber,Documentary,1196,138
792,Yalom's Cure,3/11/2016,First Run Features,Documentary,1164,134
793,The Ghosts of Johnson Woods,12/2/2016,Driving With Our …,Horror,1080,124
794,Misfortune,8/5/2016,Gunnison Galaxy,Thriller/Suspense,903,104
795,Officer Downe,11/18/2016,Magnolia Pictures,Action,850,98
796,Next Time I’ll Aim for the …,4/1/2016,Distrib Films,Drama,815,94
797,The Student and Mr. Henri,8/19/2016,Distrib Films,Romantic Comedy,761,87
798,Down by Love,8/19/2016,Distrib Films,Drama,675,78
799,The Pit,9/30/2016,Kino Lorber,Horror,560,64
800,Dark Star: H.R. Giger's World,5/13/2015,Icarus Films,Documentary,542,62
801,Green is Gold,10/7/2016,Samuel Goldwyn Films,Drama,455,52
802,Güeros,5/20/2015,Kino Lorber,Comedy,428,49
803,News From Planet Mars,7/22/2016,Kino Lorber,Comedy,310,35
804,The Lady in the Car With Gl…,12/18/2015,Magnolia Pictures,Thriller/Suspense,266,30
805,Satanic,7/1/2016,Magnolia Pictures,Horror,252,29
